name,link,address,phone,firm_reference_number,status,email
South Herts Financial Services Limited,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000g8KTQAA2,7a Forum Place           Fiddlebridge Lane                                 Hatfield           AL10 0RN           UNITED KINGDOM,44 1707268382,654689,Authorised,john.wells@shfs.co.uk
The Mortgage Centre (Home Counties) Limited,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfIeUAAV,10 Crawford Road                                            Hatfield           AL10 0PG           UNITED KINGDOM,44 01707262908,193363,Appointed representative,
Plan4You Ltd,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000003Jiu4kAAB,Great North Business Centre           82 Great North Road                                 Hatfield           AL9 5BL           UNITED KINGDOM,+44 07976698273,740372,Appointed representative,
Hertfordshire Chamber of Commerce & Industry,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfIPZAA3,MacLaurin Building           4 Bishops Square                                 Hatfield           AL10 9NE           UNITED KINGDOM,44 01707398400,194864,Appointed representative - introducer,enquires@hertschamber.com
One Life Wealth Planning Ltd,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000NMRGoAAP,Mosquito Way                                            Hatfield           AL10 9AX           UNITED KINGDOM,+44 01707262541,517067,Authorised,nickevans@onelifewealth.co.uk
Michael Sheehy,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfIq3AAF,43 Selwyn Crescent                                            Hatfield           AL10 9NW           UNITED KINGDOM,44 01707275775,200193,Appointed representative,sheehywhite@ntlworld.com
Bakers, Food & Allied Workers' Union,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfVuFAAV,Stanborough House           Great North Road                                 Welwyn Garden City           AL8 7TA           UNITED KINGDOM,44 01707260150,401799,Appointed representative - introducer,
Domain Finance Limited,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfMWKAA3,17 Sleapcross Gardens           Smallford                                 St. Albans           AL4 0RX           UNITED KINGDOM,44 08458380140,214936,Appointed representative,
Alan Merrill,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000NMYZ0AAP,49 Woodhall Lane                                            Welwyn Garden City           AL7 3TB           UNITED KINGDOM, 07813572584,592432,Appointed representative - introducer,abmerrill43@gmail.com
1 Leta Finance Ltd,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=0010X00004D7e7wQAB,5 Little Lake                                            Welwyn Garden City           AL7 4RT           UNITED KINGDOM,+44 07902982434,812416,Appointed representative,eoguno@1letfinance.com
Omni Financial Limited,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000003IN6clAAD,Unit D2 The Courtyard Alban Park Hatfield Road                                            St. Albans           AL4 0LA           UNITED KINGDOM,44 1727223251,737468,Authorised,guy.swinnerton@omni-financial.co.uk
Beechwood Financial Services Limited,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000lB4wuAAC,2nd Floor           Gate House           Fretherne Road                      Welwyn Garden City           AL8 6NS           UNITED KINGDOM,44 1707336539,677641,Authorised,phil@beechwoodfs.co.uk
Bounty (UK) Ltd,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfQ9bAAF,29 Broadwater Road                                            Welwyn Garden City           AL7 3BQ           UNITED KINGDOM,+44 01707294041,222169,Appointed representative - introducer,gburt@bounty.com
Strategy Financial Limited,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfcGJAAZ,Weltech Business Centre Ridgeway                                            Welwyn Garden City           AL7 2AA           UNITED KINGDOM,44 01707323388,431155,Appointed representative,
City Capital Markets Ltd,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000MfiYrAAJ,Orion House Bessemer Road                                            Welwyn Garden City           AL7 1HH           UNITED KINGDOM,+44 01707800992,482324,Authorised,m.lockwood1@btinternet.com
Vita Financial Planning Ltd,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000NMhLEAA1,Orion House           Bessemer Road                                 Welwyn Garden City           AL7 1HH           UNITED KINGDOM,+44 01707244450,597852,Appointed representative,info@vitafp.co.uk
Columbus Twenty Three Ltd,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000NMQsbAAH,45 Moffats Lane           Brookmans Park                                 Hatfield           AL9 7RX           UNITED KINGDOM,+44 02037457355,511506,Appointed representative,
Priyanka Singh,https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000003ZbFsGAAV,13 Appletree Way                                            Welwyn Garden City           AL7 2FE           UNITED KINGDOM,+44 07540357313,764863,Appointed representative,
