name,address,phone,firm_reference_number,status,email
Green Leaf Mortgages Limited,31 Newfield Way                    St. Albans     AL4 0GB     UNITED KINGDOM, 01727852673,438392,Appointed representative,
Alban Wealth LLP,Box 791     St Albans     Wheathampstead          St. Albans     AL4 8XG     UNITED KINGDOM,44 1727220321,624670,Authorised,paula@paulacohen.co.uk
Consolidated Financial Management Limited,Centurion Court     83 Camp Road               St. Albans     AL1 5JN     UNITED KINGDOM,44 01727858136,400603,Authorised,gary@consolidatedfinancialmanagement.com
Avidity Wealth Management Ltd,Suite one     Phoenix House     63 Campfield Road     St Albans          AL1 5FL     UNITED KINGDOM, 01727898880,556041,Appointed representative,tim@aviditywealthmanagement.com
Stem Financial Services,51 Elm Drive                    St. Albans     AL4 0EH     UNITED KINGDOM,44 01442244686,457713,Authorised,steve@stemfs.co.uk
Kings Financial Management Ltd,10 Hazelwood Drive                    St. Albans     AL4 0UW     UNITED KINGDOM,+44 07712837473,741507,Appointed representative,
Nhance Independent Limited,Main Mill     New Barnes Mill     Cottonmill Lane          St. Albans     AL1 2HA     UNITED KINGDOM,44 727799020,560821,Authorised,michelle@enhancewm.co.uk
Buckley Wealth Limited,Fountain Court     2 Victoria Square     Victoria Street          St Albans     AL1 3TF     UNITED KINGDOM,+44 07879384599,618213,Appointed representative,david@bw-ifa.co.uk
Pranaflow Limited,Fountain Court     2 Victoria Square     Victoria Street          St. Albans     AL1 3TF     UNITED KINGDOM,44 7802503136,758751,Authorised,tim@flowifp.co.uk
Defined Returns Limited,Ziggurat     25 Grosvenor Road               St. Albans     AL1 3AW     UNITED KINGDOM,44 01727797811,402135,Authorised,paulbispham@definedreturns.com
Nitzan Winter-Friesen,125 Riverside Road                    St. Albans     AL1 1RZ     UNITED KINGDOM,+44 02077441600,791890,Appointed representative,
IFPC Limited,Faulkner House     Victoria Street               St. Albans     AL1 3SN     UNITED KINGDOM,44 01727837128,144197,Authorised,rbradly@ifpc.co.uk
Omni Financial Limited,Unit D2 The Courtyard Alban Park Hatfield Road                    St. Albans     AL4 0LA     UNITED KINGDOM,44 1727223251,737468,Authorised,guy.swinnerton@omni-financial.co.uk
