name,address,phone,firm_reference_number,status,email
BSG Financial Solutions Limited,Unit 3     Chestnut House     Farm Close     Shenley     Radlett     WD7 9AD     UNITED KINGDOM,44 01923852080,214741,Appointed representative,
Business Support Group UK LLP,Unit 1     3 Chesnut House     Farm Close     Shenley          WD7 9AD     UNITED KINGDOM, 01923852080,489290,Appointed representative - introducer,
Green Leaf Mortgages Limited,31 Newfield Way                    St. Albans     AL4 0GB     UNITED KINGDOM, 01727852673,438392,Appointed representative,
Lonsdale Services Ltd,Unit 3     Curo Park     Frogmore          St. Albans     AL2 2DD     UNITED KINGDOM,44 01727845500,225488,Authorised,enquiries@lonsdaleservices.co.uk
Domain Finance Limited,17 Sleapcross Gardens     Smallford               St. Albans     AL4 0RX     UNITED KINGDOM,44 08458380140,214936,Appointed representative,
Nhance Independent Limited,Main Mill     New Barnes Mill     Cottonmill Lane          St. Albans     AL1 2HA     UNITED KINGDOM,44 727799020,560821,Authorised,michelle@enhancewm.co.uk
Alban Wealth LLP,Box 791     St Albans     Wheathampstead          St. Albans     AL4 8XG     UNITED KINGDOM,44 1727220321,624670,Authorised,paula@paulacohen.co.uk
B J Fields,5 Lamorna Close                    Radlett     WD7 7DR     UNITED KINGDOM,44 01923852200,186749,Authorised,barry@fieldsinsurancebrokers.com
Neil John Finlayson Poole,93 Brook Court     Watling Street               Radlett     WD7 7JA     UNITED KINGDOM,+44 07710757503,718690,Appointed representative,
Howard Field,58 Williams Way                    Radlett     WD7 7HB     UNITED KINGDOM,+44 01923854467,459788,Appointed representative - introducer,
Omni Financial Limited,Unit D2 The Courtyard Alban Park Hatfield Road                    St. Albans     AL4 0LA     UNITED KINGDOM,44 1727223251,737468,Authorised,guy.swinnerton@omni-financial.co.uk
Tremellen Jeffrey Allan Ltd,137 Watling Street                    Radlett     WD7 7NQ     UNITED KINGDOM,+44 01923333199,492279,Authorised,debbie@tjal.co.uk
Values To Vision Financial Planning Ltd,First Floor     137 Watling Street               Radlett     WD7 7NQ     UNITED KINGDOM,+44 01923289195,486776,Authorised,nick@v2vfp.co.uk
Butlers in Denim Ltd,28 Old Orchard     Park Street               St. Albans     AL2 2QB     UNITED KINGDOM,+44 2081275779,672851,Appointed representative - introducer,hello@butlersindenim.co.uk
Morris Wealth Management Limited,11 Beaumont Gate     Shenley Hill               Radlett     WD7 7AR     UNITED KINGDOM,+44 07775616090,582466,Appointed representative,
Montague Strauss & Associates Ltd,26 Newlands Avenue                    Radlett     WD7 8EL     UNITED KINGDOM,44 01923857967,413126,Appointed representative,montagestraussassociates@hotmail.com
Barry Allsuch & Co,223 Watling St                    Radlett     WD7 7AL     UNITED KINGDOM,44 01923852333,410724,Appointed representative - introducer,radlett@barryallsuch.co.uk
Radlett Homes Ltd,70d Watling Street                    Radlett     WD7 7NP     UNITED KINGDOM,+44 01923852434,743665,Appointed representative - introducer,neil@village-estates.co.uk
Stem Financial Services,51 Elm Drive                    St. Albans     AL4 0EH     UNITED KINGDOM,44 01442244686,457713,Authorised,steve@stemfs.co.uk
Consolidated Financial Management Limited,Centurion Court     83 Camp Road               St. Albans     AL1 5JN     UNITED KINGDOM,44 01727858136,400603,Authorised,gary@consolidatedfinancialmanagement.com
Kings Financial Management Ltd,10 Hazelwood Drive                    St. Albans     AL4 0UW     UNITED KINGDOM,+44 07712837473,741507,Appointed representative,
Avidity Wealth Management Ltd,Suite one     Phoenix House     63 Campfield Road     St Albans          AL1 5FL     UNITED KINGDOM, 01727898880,556041,Appointed representative,tim@aviditywealthmanagement.com
Defined Returns Limited,Ziggurat     25 Grosvenor Road               St. Albans     AL1 3AW     UNITED KINGDOM,44 01727797811,402135,Authorised,paulbispham@definedreturns.com
Nitzan Winter-Friesen,125 Riverside Road                    St. Albans     AL1 1RZ     UNITED KINGDOM,+44 02077441600,791890,Appointed representative,
Buckley Wealth Limited,Fountain Court     2 Victoria Square     Victoria Street          St Albans     AL1 3TF     UNITED KINGDOM,+44 07879384599,618213,Appointed representative,david@bw-ifa.co.uk
Pranaflow Limited,Fountain Court     2 Victoria Square     Victoria Street          St. Albans     AL1 3TF     UNITED KINGDOM,44 7802503136,758751,Authorised,tim@flowifp.co.uk
Alban Financial Services Limited,213B Park Street Lane     Park Street               St. Albans     AL2 2BB     UNITED KINGDOM,+44 01727863816,215270,Appointed representative,
KD Wright Financial Services Limited,Centurion House     136-142 London Road               St. Albans     AL1 1PQ     UNITED KINGDOM,+44 01727852299,509886,Authorised,mark@kdw.co.uk
IFPC Limited,Faulkner House     Victoria Street               St. Albans     AL1 3SN     UNITED KINGDOM,44 01727837128,144197,Authorised,rbradly@ifpc.co.uk
Marc Bennett,20 Tithe Barn Close                    St Albans     al1 2qd     UNITED KINGDOM, 020020,470074,Appointed representative,
Tisco Financial Planning Ltd,Morton House     80A Victoria Street               St. Albans     AL1 3XH     UNITED KINGDOM,+44 01727734040,509803,Authorised,suzi@tisco.co.uk
Chamberlain Stean & West Ltd,Unit 2F     Horseshoe Business Park     Lye Lane     Bricket Wood     St. Albans     AL2 3TA     UNITED KINGDOM, 01923270036,466922,Appointed representative,enquiries@cswfs.co.uk
Albatroz Security Management UK LLP,42 Loom Lane                    Radlett     WD7 8NU     UNITED KINGDOM,44 7717805538,595847,Authorised,ben.hakham@albatroz.co.uk
JDB Life Ltd,17 Horseshoe Business Park     Upper Lye Lane     Bricket Wood          St Albans     AL2 3TA     UNITED KINGDOM,44 01923517117,605775,Authorised,jason@blossomfinancial.co.uk
Just Private Medical Ltd,Unit 17     Horseshoe Business Park     Lye Lane     Bricket Wood     St. Albans     AL2 3TA     UNITED KINGDOM,+44 01923517117,740174,Appointed representative,
Taylor Burke Partnership,Whelan House     30 Marlborough Road               St. Albans     AL1 3XQ     UNITED KINGDOM, 08456033288,215254,Appointed representative,
Synergy Financial Products Limited,Building 1     Centrium     Griffiths Way          St. Albans     AL1 2RD     UNITED KINGDOM,44 3301239938,312416,Authorised,markturner@sfpl.co.uk
Outsourced Professional Administration Limited,Building 1     Centrium     Griffiths Way          St. Albans     AL1 2RD     UNITED KINGDOM,44 1727734300,459719,Authorised,markturner@opal-uk.com
MAB Wealth Management Ltd,12-14 Upper Marlborough Road                    St Albans     AL1 3UR     UNITED KINGDOM,44 0,610741,Appointed representative,
Lifetime Wealth Management Ltd,14 Upper Marlborough Road                    St Albans     AL1 3UR     UNITED KINGDOM,44 01727848412,400358,Appointed representative,
J C Langley & C M G Platt,45-49 Victoria Street                    St Albans     AL1 3WZ     UNITED KINGDOM,+44 01727869496,530738,Appointed representative,st_albans_agency@nfumutual.co.uk
Northwood (St Albans) Ltd,48 London Road                    St. Albans     AL1 1NG     UNITED KINGDOM, 01727734550,461373,Appointed representative - introducer,stalbans@northwooduk.com
Client First - Wealth Management Limited,54-56 Victoria Street                    St. Albans     AL1 3HZ     UNITED KINGDOM,+44 01727228628,600620,Authorised,info@cfwm.co.uk
Susan Hill FP Ltd,54-56 Victoria Street                    St. Albans     AL1 3HZ     UNITED KINGDOM,+44 8081232332,760055,Appointed representative,
consolidatemypensions.com Ltd,Suite 1     Clockhouse Court     5-7 London Road          St. Albans     AL1 1LA     UNITED KINGDOM,+44 01727834222,801905,Appointed representative,
CONSOLIDATEMYPENSIONS.COM LTD,1 Clockhouse Court 5-7 London Road                    St. Albans     AL1 1LA     UNITED KINGDOM,44 1727790152,809981,Authorised,stuart@feastnoble.com
Feast Noble & Company LLP,Suite 1     Clockhouse Court     5-7 London Road          St Albans     AL1 1LA     UNITED KINGDOM,+44 01727834222,490071,Authorised,stuart@feastnoble.com
Consilia Wealth Management LLP,Clockhouse Court     5-7 London Road               St Albans     AL1 1LA     UNITED KINGDOM,44 01727832166,577504,Authorised,michellem@consiliawm.com
Crowdstacker Limited,Floors 1 & 2     6 Victoria Street               St. Albans     AL1 3JB     UNITED KINGDOM,+44 02071187570,648742,Authorised,mark.bristow@crowdstacker.com
David William Fawcett,1A Canberra House     London Road               St. Albans     AL1 1LE     UNITED KINGDOM,44 02083270664,215518,Appointed representative,
