name,address,phone,firm_reference_number,status,email
J P Wealth Management Limited,18 Aldwick Road                                                                    Harpenden                 AL5 1NG                 UNITED KINGDOM,+44 07792078194,758261,Appointed representative,
Vertus Asset Management Limited Liability Partnership,61 Meadway                                                                    Harpenden                 AL5 1JH                 UNITED KINGDOM,+44 02071042140,784264,Appointed representative,
David Gibson,11 Vallance Place                                                                    Harpenden                 AL5 1AX                 UNITED KINGDOM, ,591771,Appointed representative,
H B Wealth Management,9 Waterside                 Station Road                                                   Harpenden                 AL5 4US                 UNITED KINGDOM,+44 01582919599,552556,Appointed representative,abbie.buss@gwmfs.co.uk
GWM Asset Management Limited,9 Waterside Station Road                                                                    Harpenden                 AL5 4US                 UNITED KINGDOM,44 2030304141,737512,Authorised,barry.rogers@gwmfs.co.uk
Geneva Wealth Limited,Rivers Lodge                 West Common                                                   Harpenden                 AL5 2JD                 UNITED KINGDOM,44 01582294490,807865,Authorised,shan@genevawealth.co.uk
Robert Anthony Ridout,5a Carlton Road                                                                    Harpenden                 AL5 4SX                 UNITED KINGDOM,44 01582621934,578337,Authorised,robridout@harpendenifa.com
Harpenden Building Society,Mardall House                 9-11 Vaughan Road                                                   Harpenden                 AL5 4HU                 UNITED KINGDOM,44 01582765411,157260,Authorised,enquiries@harpendenbs.co.uk
Lyndhurst Financial Management Limited,Lyndhurst House                 High Street                                                   Harpenden                 AL5 2RT                 UNITED KINGDOM,44 01582715777,154621,Authorised,martinfcorrie@lyndhurstfm.co.uk
WeatherXchange Limited,Mardall House                 9-11 Vaughan Road                                                   Harpenden                 AL5 4HU                 UNITED KINGDOM,44 01582465551,190653,Authorised,stephen.doherty@speedwell.net
Ellerd Investments Limited,Ellerd House                 Amenbury Lane                                                   Harpenden                 AL5 2EJ                 UNITED KINGDOM,44 1582761121,125196,Authorised,beacon@beacon-ifa.co.uk
BPH Wealth Management LLP,Oddstones House                 Thompsons Close                                                   Harpenden                 AL5 4ES                 UNITED KINGDOM, 01582461122,476417,Authorised,darren.weeks@bphwealth.co.uk
Worldover Capital LLP,1 Park View                 Leyton Road                                                   Harpenden                 AL5 2FF                 UNITED KINGDOM,44 07711444024,464710,Authorised,davidsheridan@worldovercapital.com
Grosvenor Wealth Management Limited,Nine Waterside                 Station Road                                                   Harpenden                 AL5 4US                 UNITED KINGDOM,44 02030304141,472247,Authorised,benedict.anderton@gwmfs.co.uk
BondMason BRIX Ltd,1 The Forresters                                                                    Harpenden                 AL5 2FB                 UNITED KINGDOM,+44 01582802000,839537,Appointed representative,invest@bondmason.com
Activus Wealth Limited,9 Bowers Way                                                                    Harpenden                 AL5 4EP                 UNITED KINGDOM,44 02036579728,624196,Authorised,davidf@activuswealth.co.uk
Robert Moreland Ltd,9 Netherfield Road                                                                    Harpenden                 AL5 2AF                 UNITED KINGDOM,44 1582461490,800013,Authorised,advice@robert-moreland.co.uk
Johan Fraser Associates Ltd,9 Hilltop View                                  Wheathampstead                                  St Albans                 al4 8aj                 UNITED KINGDOM, ,602268,Appointed representative - introducer,
Bluegrove Wealth Limited,20A Moreton Avenue                                                                    Harpenden                 AL5 9FP                 UNITED KINGDOM,44 1582461961,729419,Authorised,lester@bluegrove.co.uk
Homer & Co LLP,3 Kinsbourne Court                 96-100 Luton Road                                                   Harpenden                 AL5 3BL                 UNITED KINGDOM,+44 01582463150,498583,Authorised,info@homer-co.co.uk
Edwards Associates Advice LLP,                                                                                     , ,609064,Authorised,
PP Wealth Limited,Unit 23                 Thrales End Business Centre                 Thrales End Lane                                  Harpenden                 AL5 3NS                 UNITED KINGDOM,44 1582462552,598247,Authorised,
AMR Financial Management Limited,Chiltern House                 433 Luton Road                                                   Harpenden                 AL5 3QE                 UNITED KINGDOM,44 01582461588,165172,Authorised,ginas@amrh.co.uk
Gemmell Financial Services Limited,9 Sandridge Park                 Porters Wood                                                   St Albans                 al3 6ph                 UNITED KINGDOM,44 01727790800,465096,Authorised,clair@gemmell.plus.com
Brownlow Wealth Management Ltd,Crown House 1a Crown St                                  Redbourn                                  St Albans                 AL3 7JX                 UNITED KINGDOM, 01582794967,532635,Appointed representative,
Adviceworks Limited,52a High Street                 Redbourn                                                   St. Albans                 AL3 7LN                 UNITED KINGDOM,44 01582799087,458995,Authorised,ian@adviceworks.co.uk
Pharmaceutical and General Provident Society Ltd,11 Parkway                 Porters Wood                                                   St. Albans                 AL3 6PA                 UNITED KINGDOM,44 01727840095,110023,Authorised,andrew.bowater@pgmutual.co.uk
Trinity Wealth Management Limited,Cedar Court                 6c Parkway                 Porters Wood                                  St. Albans                 AL3 6PA                 UNITED KINGDOM,44 01727851123,206188,Appointed representative,graham.cleveland@twm.uk.com
